Timestamp,What is your age?,Are you?,Have you used online dating app(s) before?,How often do you use online dating app(s)?,What are you looking for in online dating app(s)?,How long have you used online dating app(s)?,Have you experienced ghosting or being ghosted?,What's your overall experience using online dating app(s)?,What's the main reason you haven't used any dating app?,Do you intend to use any online dating app?,Meeting_Frequency,Dates_Per_Match,Preferred_Meeting_Location,Match_Punctuality,Comfort_Level,Would_Meet_Again,Profile_Review_Time,Reflect_Before_Swiping,No_Show_Experience,Open_To_QR_Code,Responsible_Behavior_Promotion,Use_Conscious_Module
2023-01-01,30-40,Female,Yes,Occasionally,Short-term or casual relationship,1-6 months,,,,No,Occasionally,2-3,Private,Yes,No,No,Seconds,No,Yes,Yes,Yes,No
2023-01-01,40-50,Male,No,Frequently,Short-term or casual relationship,,Ghosting,Negative,Have been in a relationship since I was a minor,,Rarely,1,Depends,Yes,Somewhat,Yes,Seconds,Yes,No,Yes,No,Yes
2023-01-01,25-30,Male,No,,Long-term relationship,more than 1 year,,,Not interested,,Frequently,More than 3,Public,No,Somewhat,Maybe,Seconds,Yes,No,Yes,Neutral,No
2023-01-01,40-50,Male,Yes,Rarely,I don't know yet,more than 1 year,Both,Very negative,,No,Occasionally,2-3,Private,Yes,No,Maybe,Minutes,No,No,No,No,No
2023-01-01,40-50,Female,Yes,Occasionally,,1-6 months,Being ghosted,Negative,,No,Occasionally,More than 3,Private,Yes,Somewhat,No,Seconds,No,No,Yes,Neutral,No
2023-01-01,40-50,Male,Yes,,I don't know yet,more than 1 year,,Very negative,,,Occasionally,2-3,Depends,Yes,Somewhat,Yes,Seconds,Yes,No,Yes,Neutral,Yes
2023-01-01,30-40,Female,No,Occasionally,I don't know yet,,,,,No,Frequently,1,Depends,No,No,Yes,Seconds,No,No,No,Neutral,No
2023-01-01,30-40,Female,Yes,Frequently,Short-term or casual relationship,1-6 months,Neither,,Not interested,No,Occasionally,More than 3,Private,Yes,No,Yes,Minutes,No,No,No,Neutral,Yes
2023-01-01,25-30,Female,Yes,Rarely,Long-term relationship,,,Negative,Prefer real connection over online dating,No,Occasionally,1,Public,Yes,Somewhat,Maybe,Seconds,Yes,Yes,No,Yes,No
2023-01-01,40-50,Female,No,,Short-term or casual relationship,,,Negative,Prefer real connection over online dating,,Frequently,1,Public,No,Somewhat,No,Minutes,No,Yes,No,Neutral,No
2023-01-01,25-30,Male,Yes,,,more than 1 year,,Very negative,Not interested,,Frequently,2-3,Depends,Yes,Yes,Yes,Seconds,No,No,Yes,Yes,No
2023-01-01,30-40,Female,No,Frequently,,more than 1 year,Both,Negative,,No,Frequently,1,Depends,Yes,Somewhat,No,Minutes,No,No,No,No,Yes
2023-01-01,40-50,Female,Yes,Frequently,I don't know yet,more than 1 year,Both,Positive,Not interested,,Rarely,2-3,Public,No,No,No,Seconds,Yes,No,No,No,Yes
2023-01-01,30-40,Male,No,,,1-6 months,,Negative,Prefer real connection over online dating,No,Rarely,1,Private,Yes,Yes,Yes,Minutes,Yes,No,No,Neutral,No
2023-01-01,30-40,Female,Yes,Rarely,,more than 1 year,Being ghosted,Positive,,No,Rarely,1,Depends,No,Somewhat,Yes,Seconds,No,Yes,Yes,Yes,Yes
